,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
12230,09/01/2021,AR,455781,,,2890,0.0,6969,,,35,0.0,09/02/2021 01:49:05 PM,Not agree,Not agree
12356,04/01/2021,AS,0,,,0,0.0,0,,,0,0.0,04/02/2021 01:56:15 PM,,
12379,09/01/2021,WV,191156,147589.0,43567.0,1466,447.0,3106,,,22,7.0,09/02/2021 01:49:05 PM,Agree,Not agree
12386,02/01/2021,TX,2392443,,,31811,3784.0,41422,,,233,0.0,02/03/2021 12:00:00 AM,Not agree,Not agree
12401,06/01/2021,OK,453284,357712.0,95572.0,42,7.0,7316,6234.0,1082.0,0,0.0,06/02/2021 02:35:40 PM,Agree,Agree
12429,05/01/2021,UT,397733,397733.0,0.0,410,0.0,2203,2138.0,65.0,1,0.0,05/02/2021 02:13:07 PM,Agree,Agree
12613,03/01/2021,PR,101170,93343.0,7827.0,24,13.0,2068,1755.0,313.0,4,1.0,03/01/2021 12:00:00 AM,Agree,Agree
12697,06/01/2021,TX,2944003,,,159,37.0,50957,,,29,0.0,06/03/2021 12:00:00 AM,Not agree,Not agree
12701,02/01/2021,UT,347208,347208.0,0.0,584,0.0,1668,1622.0,46.0,3,0.0,02/02/2021 02:51:51 PM,Agree,Agree
12818,07/01/2021,AK,68428,,,49,0.0,370,,,0,0.0,07/02/2021 01:55:07 PM,,
12835,02/01/2021,MP,132,132.0,0.0,0,0.0,2,2.0,0.0,0,0.0,02/03/2021 12:00:00 AM,Agree,Agree
12942,04/01/2021,AR,330609,,,211,57.0,5636,,,10,5.0,04/02/2021 01:56:15 PM,Not agree,Not agree
12948,02/01/2021,WV,121425,97374.0,24051.0,424,126.0,2028,,,4,-1.0,02/02/2021 02:51:51 PM,Agree,Not agree
12972,01/01/2021,MP,122,122.0,0.0,0,0.0,2,2.0,0.0,0,0.0,01/03/2021 12:00:00 AM,Agree,Agree
13008,03/01/2021,NYC,734342,621840.0,112502.0,2809,798.0,29473,24527.0,4946.0,67,2.0,02/27/2021 12:00:00 AM,Agree,Agree
13024,07/01/2021,KS,318310,256539.0,61771.0,204,39.0,5156,,,0,0.0,07/02/2021 01:55:07 PM,Agree,
13082,04/01/2021,UT,386128,386128.0,0.0,487,0.0,2125,2065.0,60.0,3,1.0,04/02/2021 01:56:15 PM,Agree,Agree
13105,01/01/2021,CO,337161,322944.0,14217.0,3064,141.0,4873,4221.0,652.0,59,6.0,01/02/2021 02:50:51 PM,Agree,Agree
13192,08/01/2021,WV,167458,130607.0,36851.0,221,67.0,2948,,,1,0.0,08/02/2021 02:03:57 PM,Agree,Not agree
13256,02/01/2021,FL,1703247,,,10280,3510.0,29168,,,155,12.0,02/01/2021 12:00:00 AM,Not agree,Not agree
13278,09/01/2021,GA,1413284,1097709.0,315575.0,9702,3000.0,22870,19806.0,3064.0,130,4.0,09/02/2021 01:49:05 PM,Agree,Agree
13427,08/01/2021,FL,2641522,,,13152,2450.0,40378,,,140,9.0,08/01/2021 12:00:00 AM,Not agree,Not agree
13539,02/01/2021,PR,95173,88423.0,6750.0,39,23.0,1937,1636.0,301.0,3,0.0,02/01/2021 12:00:00 AM,Agree,Agree
13693,02/01/2021,AR,296494,,,1226,354.0,4895,,,27,5.0,02/02/2021 02:51:51 PM,Not agree,Not agree
13720,04/01/2021,WV,142233,112696.0,29537.0,495,114.0,2683,,,7,0.0,04/02/2021 01:56:15 PM,Agree,Not agree
13760,02/01/2021,OK,410093,326493.0,83600.0,1194,411.0,6277,5373.0,904.0,35,4.0,02/02/2021 12:00:00 AM,Agree,Agree
13805,01/01/2021,PW,0,,,0,0.0,0,,,0,0.0,01/02/2021 02:50:51 PM,,
13938,07/01/2021,PW,2,,,0,0.0,0,,,0,0.0,07/02/2021 01:55:07 PM,,
13986,06/01/2021,MP,183,183.0,0.0,0,0.0,2,2.0,0.0,0,0.0,06/03/2021 12:00:00 AM,Agree,Agree
13998,06/01/2021,GA,1124080,896255.0,227825.0,239,65.0,20838,18069.0,2769.0,1,0.0,06/02/2021 02:35:40 PM,Agree,Agree
14036,07/01/2021,MA,710049,663898.0,46151.0,83,7.0,17997,17633.0,364.0,3,0.0,07/02/2021 01:55:07 PM,Agree,Agree
14163,07/01/2021,UT,415679,415679.0,0.0,540,0.0,2375,2304.0,71.0,4,0.0,07/02/2021 01:55:07 PM,Agree,Agree
14249,06/01/2021,HI,35090,,,55,7.0,497,,,0,0.0,06/02/2021 02:35:40 PM,Not agree,Not agree
14418,01/01/2021,TX,1772483,,,16311,3803.0,31558,,,276,0.0,01/03/2021 12:00:00 AM,Not agree,Not agree
14468,08/01/2021,MA,721182,673856.0,47326.0,701,17.0,18082,17714.0,368.0,0,0.0,08/02/2021 02:03:57 PM,Agree,Agree
14671,04/01/2021,TX,2786642,,,3337,822.0,48773,,,49,0.0,04/03/2021 12:00:00 AM,Not agree,Not agree
14740,04/01/2021,AK,60768,,,230,0.0,340,,,0,0.0,04/01/2021 12:00:00 AM,,
14904,04/01/2021,FL,2030827,,,6328,1682.0,34473,,,67,4.0,04/01/2021 12:00:00 AM,Not agree,Not agree
14936,03/01/2021,MP,143,143.0,0.0,0,0.0,2,2.0,0.0,0,0.0,03/03/2021 12:00:00 AM,Agree,Agree
14969,03/01/2021,TX,2647845,,,3821,-1141.0,46538,,,136,0.0,03/03/2021 12:00:00 AM,Not agree,Not agree
15078,09/01/2021,MP,243,243.0,0.0,0,0.0,2,2.0,0.0,0,0.0,09/03/2021 12:00:00 AM,Agree,Agree
15079,06/01/2021,WV,161858,126517.0,35341.0,145,50.0,2797,,,5,1.0,06/02/2021 02:35:40 PM,Agree,Not agree
15132,05/01/2021,CO,512804,479386.0,33418.0,1838,177.0,6302,5547.0,755.0,7,2.0,05/02/2021 02:13:07 PM,Agree,Agree
15140,01/01/2021,UT,279722,279722.0,0.0,3110,0.0,1278,1252.0,26.0,9,1.0,01/02/2021 02:50:51 PM,Agree,Agree
15147,03/01/2021,HI,27499,,,26,0.0,436,,,0,0.0,03/02/2021 02:54:47 PM,Not agree,Not agree
15152,05/01/2021,KS,309301,249857.0,59444.0,171,37.0,4982,,,0,0.0,05/02/2021 02:13:07 PM,Agree,
15156,07/01/2021,MP,183,183.0,0.0,0,0.0,2,2.0,0.0,0,0.0,07/03/2021 12:00:00 AM,Agree,Agree
15169,02/01/2021,MA,526423,500415.0,26008.0,2398,128.0,14900,14600.0,300.0,68,3.0,02/03/2021 12:00:00 AM,Agree,Agree
15207,04/01/2021,GA,1060973,853273.0,207700.0,1425,547.0,19119,16664.0,2455.0,64,7.0,04/02/2021 01:56:15 PM,Agree,Agree
15208,07/01/2021,AS,0,,,0,0.0,0,,,0,0.0,07/02/2021 01:55:07 PM,,
15214,01/01/2021,NYC,448506,396615.0,51891.0,6034,1061.0,25107,20358.0,4749.0,46,5.0,12/30/2020 12:00:00 AM,Agree,Agree
15373,02/01/2021,HI,25870,,,84,0.0,407,,,0,0.0,02/02/2021 02:51:51 PM,Not agree,Not agree
15571,01/01/2021,GA,677589,575395.0,102194.0,11137,2418.0,10958,9889.0,1069.0,24,7.0,01/02/2021 02:50:51 PM,Agree,Agree
15649,08/01/2021,SD,125428,,,53,7.0,2043,1665.0,378.0,0,0.0,08/02/2021 02:03:57 PM,,Agree
15656,03/01/2021,TN,778135,651525.0,126610.0,563,181.0,11491,9247.0,2244.0,13,3.0,02/28/2021 12:00:00 AM,Agree,Agree
